end station name,end station latitude,end station longitude,Trip End Count
W 89 St & Columbus Ave,40.7882213,-73.97041561,1059
E 39 St & 2 Ave,40.74780373,-73.97344190000001,3072
E 77 St & 3 Ave,40.77314236,-73.95856158,1028
W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,2572
E 20 St & Park Ave,40.73827428,-73.98751968,2918
Lenox Ave & W 130 St,40.8107922,-73.9430681,619
E 88 St & 1 Ave,40.778301,-73.9488134,1159
Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,733
Smith St & 9 St,40.67469570000001,-73.99785768,694
E 2 St & Avenue A,40.72307749068673,-73.98583620786667,2693
Sullivan St & Washington Sq,40.73047747,-73.99906065,1932
E 2 St & Avenue B,40.72217444,-73.98368779,2525
Mott St & Prince St,40.72317958,-73.99480012,2289
Graham Ave & Herbert St,40.71929301,-73.94500379,320
W 33 St & 7 Ave,40.75019995,-73.99093085,4419
N 12 St & Bedford Ave,40.72079821,-73.95484712,804
E 47 St & Park Ave,40.75510267,-73.97498696,5135
Columbus Ave & W 72 St,40.7770575,-73.97898475,2587
Central Park W & W 96 St,40.791270000000004,-73.964839,1140
E 23 St & 1 Ave,40.736502,-73.97809472,3566
1 Ave & E 62 St,40.761227399999996,-73.96094022,2461
Pershing Square North,40.751872999999996,-73.97770600000001,8905
9 Ave & W 22 St,40.7454973,-74.00197139,3517
W 44 St & 5 Ave,40.75500254,-73.98014437,2295
Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,607
Henry St & Atlantic Ave,40.69089272,-73.99612349,1218
8 Ave & W 33 St,40.751551,-73.993934,5264
E 35 St & 3 Ave,40.746524,-73.977885,1674
Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,2818
E 7 St & Avenue A,40.72621788,-73.98379855,3201
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,402
W 49 St & 8 Ave,40.76227205,-73.98788205,2831
Vesey Pl & River Terrace,40.715337899999994,-74.01658354,2903
E 118 St & Park Ave,40.8005385,-73.9419949,139
W Broadway & Spring Street,40.72494672359416,-74.00165855884552,2027
E 15 St & 3 Ave,40.734232,-73.986923,3804
1 Ave & E 16 St,40.73221853,-73.98165557,4328
Allen St & Hester St,40.71605866,-73.99190759,2134
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,1210
W 45 St & 8 Ave,40.75929124,-73.98859651,2808
W 42 St & 8 Ave,40.75756989999999,-73.99098507,2679
Roebling St & N 4 St,40.714690000000004,-73.95739,573
Clark St & Henry St,40.69760127,-73.99344559,1558
Barrow St & Hudson St,40.73172428,-74.00674436,3083
Liberty St & Broadway,40.70905623,-74.01043382,2571
1 Ave & E 30 St,40.74144387,-73.97536082,2578
E 11 St & 1 Ave,40.72953837,-73.98426726,3077
Broadway & Whipple St,40.7016657,-73.9437303,484
W 20 St & 7 Ave,40.74238787,-73.99726235,2964
W 43 St & 6 Ave,40.75527307,-73.98316936,2679
W 100 St & Broadway,40.797372100000004,-73.97041192,1087
Madison St & Clinton St,40.71269042,-73.98776323,1201
E 2 St & Avenue C,40.720873600000004,-73.98085795,1487
W 4 St & 7 Ave S,40.73401143,-74.00293877,2747
Pearl St & Hanover Square,40.7047177,-74.00926027,1395
University Pl & E 8 St,40.73143724085228,-73.99490341544151,1591
Graham Ave & Grand St,40.711863,-73.944024,523
Broadway & W 60 St,40.76915505,-73.98191841,3460
Wolcott St & Dwight St,40.6753274,-74.0100698,150
W 21 St & 6 Ave,40.74173969,-73.99415556,6501
E 10 St & Avenue A,40.72740794,-73.98142006,3519
W 78 St & Broadway,40.78339981,-73.98093133,1085
E 33 St & 5 Ave,40.74765947,-73.98490707,2631
Allen St & Rivington St,40.72019576,-73.98997825,2613
8 Ave & W 52 St,40.76370739,-73.9851615,2599
W 106 St & Amsterdam Ave,40.80083629999999,-73.9664492472,583
Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,853
Suffolk St & Stanton St,40.72066442,-73.98517977,2550
E 71 St & 2 Ave,40.76817546742245,-73.95910263061523,337
Bedford Ave & Bergen St,40.676368,-73.95291800000001,540
E 4 St & 2 Ave,40.726280700000004,-73.98978041,2878
Norfolk St & Broome St,40.7172274,-73.98802084,2099
E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,1204
E 20 St & 2 Ave,40.73587678,-73.98205027,3421
Broadway & E 14 St,40.73454567,-73.99074142,5378
Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,3205
E 74 St & 1 Ave,40.7689738,-73.95482273,1517
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,3583
E 20 St & FDR Drive,40.73314259,-73.97573881,3250
11 Ave & W 27 St,40.751396,-74.00522600000001,2709
W 84 St & Columbus Ave,40.78499979,-73.97283406,1315
12 St & 4 Ave,40.668603000000004,-73.99043940000001,213
W 54 St & 9 Ave,40.76584941,-73.98690506,1825
E 2 St & 2 Ave,40.72502876,-73.99069656,2404
St Marks Pl & 2 Ave,40.7284186,-73.98713956,2775
Union Ave & Jackson St,40.7160751,-73.95202900000001,340
W 47 St & 10 Ave,40.76269882,-73.99301222,2336
East End Ave & E 86 St,40.77518615,-73.94446054,369
Henry St & Grand St,40.714215,-73.981346,2272
E 51 St & Lexington Ave,40.75714758,-73.97207836,1984
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,1465
Douglass St & 4 Ave,40.67927879999999,-73.98154004,594
Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,586
E 47 St & 1 Ave,40.75206862,-73.96784384,999
W 92 St & Broadway,40.7921,-73.9739,979
Lafayette Ave & Classon Ave,40.68900443,-73.96023854,759
E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,2283
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,750
Clinton St & 4 Place,40.6783563,-74.00014502,552
Murray St & Greenwich St,40.71485150526252,-74.01122331619263,1967
Amsterdam Ave & W 125 St,40.813358,-73.956461,345
Riverside Dr & W 72 St,40.780577990103346,-73.98562431335448,839
1 Pl & Clinton St,40.6809591,-73.99905709,497
Greenwich Ave & Charles St,40.735238,-74.000271,2092
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,1869
11 Ave & W 59 St,40.771496710544405,-73.99046033620834,2403
Prospect Pl & 6 Ave,40.6793307,-73.97519523,568
Dean St & Franklin Ave,40.67759206937376,-73.95563721656801,482
Broadway & E 22 St,40.740343200000005,-73.98955109,6751
Vernon Blvd & 31 Ave,40.7692475,-73.93545040000001,163
Peck Slip & Front St,40.707873,-74.00166999999999,1442
E 6 St & Avenue D,40.72228087,-73.97668709,1299
Great Jones St,40.72743423,-73.99379025,3902
W 88 St & West End Ave,40.790254173304184,-73.97718340158461,707
Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,2586
37 Ave & 35 St,40.7531106,-73.9279917,145
E 9 St & Avenue C,40.72521311,-73.97768752,2144
Bank St & Hudson St,40.73652889,-74.00618026,1914
W 106 St & Central Park West,40.798185600000004,-73.96059090060001,730
9 Ave & W 28 St,40.74937024193277,-73.99923384189607,2061
11 Ave & W 41 St,40.76030096,-73.99884222,2783
Grand St & Havemeyer St,40.71286844,-73.95698119,826
Washington Ave & Park Ave,40.69610226,-73.96751037,803
Fulton St & Clermont Ave,40.68415748,-73.96922273,329
Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,824
W 27 St & 7 Ave,40.746646999999996,-73.993915,3500
Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,230
W 53 St & 10 Ave,40.76669671,-73.99061728,2482
6 Ave & W 33 St,40.74901271,-73.98848395,4607
Sterling Pl & 7 Ave,40.67716489469059,-73.97382795810701,1106
34 St & 35 Ave,40.756933200000006,-73.92622309999999,154
W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,1167
E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,1337
Hancock St & Bedford Ave,40.68216564,-73.95399026,287
Hudson St & Reade St,40.71625008,-74.0091059,1716
E 5 St & Avenue C,40.72299208,-73.97995466,1440
Broadway & Roebling St,40.70924826276157,-73.96063148975372,876
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,555
2 Ave & E 96 St,40.7839636,-73.94716729999999,1374
W 22 St & 8 Ave,40.74475148,-73.99915362,3086
Division St & Bowery,40.71413089,-73.99704679999999,1905
W 59 St & 10 Ave,40.770513,-73.988038,1540
Riverside Dr & W 82 St,40.78720869,-73.98128127,765
Avenue D & E 8 St,40.72368361,-73.97574813,1105
W 11 St & 6 Ave,40.73532427,-73.99800419,2324
E 45 St & 3 Ave,40.75255434,-73.97282625,2011
5 Ave & E 29 St,40.7451677,-73.98683077,3022
Ditmars Blvd & 19 St,40.78145,-73.9183302,236
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747851,1829
Little West St & 1 Pl,40.70569254,-74.01677685,1816
E 31 St & 3 Ave,40.74394314,-73.97966069,2892
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,564
Allen St & Stanton St,40.722055,-73.989111,3276
Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,183
Laight St & Hudson St,40.72185379,-74.00771779,621
University Pl & E 14 St,40.73492695,-73.99200509,4033
Columbus Ave & W 95 St,40.7919557,-73.968087,1538
W 82 St & Central Park West,40.78275,-73.97137,907
Cliff St & Fulton St,40.70831794366396,-74.0050408244133,1877
Monroe St & Tompkins Ave,40.686203000000006,-73.944694,435
Graham Ave & Conselyea St,40.715143,-73.944507,1232
Forsyth St & Broome St,40.71893904,-73.99266288,2781
E 81 St & 3 Ave,40.77573034,-73.9567526,902
Driggs Ave & N 9 St,40.71816969454208,-73.95520135760306,1719
Pacific St & Nevins St,40.6853761,-73.98302136,600
Broadway & Berry St,40.71044554,-73.96525063,1035
W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389,1311
6 Ave & 12 St,40.666318100000005,-73.9854617,432
Hope St & Union Ave,40.71167351,-73.95141312,747
Underhill Ave & Pacific St,40.6804836,-73.9646795,443
Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,3734
E 110 St & Madison Ave,40.796153499999996,-73.94782145,803
St James Pl & Pearl St,40.71117416,-74.00016545,633
S 4 St & Wythe Ave,40.71285887,-73.96590294,1863
Catherine St & Monroe St,40.71117444,-73.99682619,1587
Front St & Washington St,40.70255088,-73.98940236,1532
W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,1063
Park Ave & E 124 St,40.8045555,-73.93968609999999,1707
Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,2763
1 Ave & E 78 St,40.77140426,-73.9535166,2777
Carroll St & Smith St,40.680611,-73.99475825,1235
Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805,795
Rogers Ave & Sterling St,40.6630619,-73.95387459999999,164
Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,1733
E 27 St & 1 Ave,40.739445,-73.97680600000001,2583
Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,1045
Pike St & Monroe St,40.71173107,-73.99193043,1128
W 26 St & 10 Ave,40.749717753,-74.002950346,2319
Willoughby Ave & Hall St,40.69196035,-73.96536851,896
Bushwick Ave & Powers St,40.71247661,-73.94100005,419
Canal St & Rutgers St,40.71427487,-73.98990025,3144
3 Ave & 14 St,40.6685455,-73.99333264,256
Columbus Ave & W 103 St,40.7969347,-73.9643412291,303
30 Ave & 21 St,40.77037429999999,-73.9286078,92
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,1277
Columbia St & Kane St,40.68763155,-74.0016256,476
Reade St & Broadway,40.71450451,-74.00562789,1446
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,1955
Milton St & Franklin St,40.72906,-73.95779,1343
Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,1399
W 107 St & Columbus Ave,40.7997568,-73.9621128676,472
Clinton St & Grand St,40.71559509,-73.9870295,3056
Central Park West & W 85 St,40.78472675,-73.96961715,1600
St Marks Pl & 1 Ave,40.72779126,-73.98564945,2854
West Thames St,40.70834698,-74.01713445,1750
Astoria Park S & Shore Blvd,40.7767,-73.927631,162
Dean St & 4 Ave,40.68312489,-73.97895137,1456
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,810
Rivington St & Chrystie St,40.72110063,-73.99192540000001,1437
W 12 St & W 4 St,40.73756121181137,-74.00398269295692,1653
2 Ave & E 122 St,40.8006721,-73.9349,264
W 16 St & 8 Ave,40.74102150900266,-74.001384973526,5015
9 Ave & W 45 St,40.76019252,-73.9912551,3187
Madison St & Montgomery St,40.713126,-73.984844,1077
W 22 St & 10 Ave,40.74691959,-74.00451887,2880
E 25 St & 1 Ave,40.7381765,-73.97738662,2404
W 24 St & 7 Ave,40.74487634,-73.99529885,3892
Central Park West & W 100 St,40.794066608185524,-73.96286845207214,718
Bank St & Washington St,40.7361967,-74.00859207,1506
E 32 St & Park Ave,40.745712100000006,-73.98194829,4131
E 11 St & Avenue B,40.727464206923926,-73.97950418293476,2163
Division Av & Hooper St,40.70684203101325,-73.9544353965357,388
W 113 St & Broadway,40.805973,-73.964928,472
Leonard St & Church St,40.717571,-74.005549,1345
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,6555
Crescent St & Ditmars Blvd,40.7787185,-73.9145645,161
Columbia St & Rivington St,40.71739973,-73.98016555,1470
W 37 St & 10 Ave,40.75660359,-73.9979009,2459
St Johns Pl & Washington Ave,40.6737236,-73.9631611,501
1 Ave & E 44 St,40.75001986,-73.96905301,2118
Lexington Ave & E 111 St,40.79541210000001,-73.9441232,496
W 17 St & 9 Ave,40.7429489166009,-74.00413691997528,1484
Broadway & Battery Pl,40.70463334,-74.01361706,2898
DeKalb Ave & Skillman St,40.6906495,-73.95643107,429
W 13 St & 7 Ave,40.73781509,-73.99994661,2835
35 Ave & 10 St,40.763154819103725,-73.93985509872438,148
1 Ave & E 110 St,40.7923272,-73.9383,787
E 82 St & East End Ave,40.7724607,-73.9468208,825
1 Ave & E 18 St,40.73381219196632,-73.9805442094803,3250
Boerum St & Broadway,40.70538077,-73.94976519,313
Berry St & N 8 St,40.7190095,-73.95852515,1525
John St & William St,40.70862144,-74.00722156,535
6 Ave & Canal St,40.72243797,-74.00566443,2521
E 12 St & 3 Ave,40.73223272,-73.98889957,600
FDR Drive & E 35 St,40.744219,-73.97121214,2155
Franklin St & W Broadway,40.71911552,-74.00666661,1284
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,1099
Kane St & Clinton St,40.686175799999994,-73.99645295,887
E 39 St & 3 Ave,40.7489006,-73.97604882,2873
Fulton St & William St,40.70955958,-74.00653609,2012
E 109 St & 3 Ave,40.79329668,-73.9432083,466
35 St & Broadway,40.760339,-73.9222427,195
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,4874
W 20 St & 8 Ave,40.74345335,-74.00004031,2513
E 78 St & 2 Ave,40.7727966,-73.95577801,737
Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,2355
E 72 St & York Ave,40.76663814,-73.95348296,2033
Bergen St & Smith St,40.686744299999994,-73.99063168,1887
South End Ave & Liberty St,40.711512,-74.01575600000001,3194
31 St & 23 Ave,40.7747878,-73.91255509999999,697
E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,1467
Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,307
Maiden Ln & Pearl St,40.70706456,-74.00731853,1188
St James Pl & Oliver St,40.71307916,-73.99851193,1345
Broad St & Bridge St,40.70365182,-74.01167797,897
Broadway & W 32 St,40.74854862,-73.98808416,3665
N 6 St & Bedford Ave,40.71745169,-73.95850939,2373
Richardson St & N Henry St,40.71907891179564,-73.94223690032959,612
Fulton St & Broadway,40.711065999999995,-74.009447,2382
Carmine St & 6 Ave,40.73038599,-74.00214988,4074
Front St & Gold St,40.70224,-73.982578,613
Center Blvd & 48 Ave,40.745038,-73.957539,380
E 84 St & Park Ave,40.77862688,-73.95772073,795
Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,950
9 St & 44 Rd,40.74966,-73.9521,212
Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,2450
Stanton St & Chrystie St,40.72229346,-73.99147535,2192
Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,2384
Carlton Ave & Flushing Ave,40.697787,-73.973736,629
E 17 St & Broadway,40.73704984,-73.99009296,5815
Avenue D & E 3 St,40.72082834,-73.97793172,1779
47 Ave & 31 St,40.743,-73.93561,234
W 26 St & 8 Ave,40.74734825,-73.99723551,3417
Driggs Ave & N Henry St,40.72325,-73.94308000000001,956
West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,1504
Bayard St & Baxter St,40.71602118,-73.99974372,2070
Washington Ave & Greene Ave,40.68650065,-73.96563307,631
Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,317
37 St & 24 Ave,40.7701477,-73.9120938,152
Carroll St & 5 Ave,40.6751622,-73.9814832,718
Atlantic Ave & Furman St,40.69165183,-73.99997859999999,685
Christopher St & Greenwich St,40.73291553,-74.00711384,4010
Warren St & Court St,40.686371,-73.99383324,685
W 27 St & 10 Ave,40.750181563256824,-74.00218427181244,3121
Cambridge Pl & Gates Ave,40.68488,-73.96304,495
W 43 St & 10 Ave,40.76009437,-73.99461843,2664
Graham Ave & Withers St,40.7169811,-73.94485918,476
S 4 St & Rodney St,40.709340000000005,-73.95608,650
Perry St & Bleecker St,40.73535398,-74.00483091,1333
Greene Ave & Throop Ave,40.6894932,-73.942061,253
Pike St & E Broadway,40.71406667,-73.99293911,1604
Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,4314
Carroll St & Bond St,40.6786115,-73.99037292,642
Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,676
W 34 St & 11 Ave,40.75594159,-74.0021163,1533
W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,725
Underhill Ave & Lincoln Pl,40.674012299999994,-73.9671457,614
Degraw St & Smith St,40.6829151,-73.99318208,676
Watts St & Greenwich St,40.72405549,-74.00965965,1810
W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,2687
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,996
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2290
31 St & Newtown Ave,40.7675487799971,-73.92093345522879,319
W 25 St & 6 Ave,40.74395411,-73.99144871,3278
Banker St & Meserole Ave,40.72606,-73.95621,832
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1101
E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,3503
McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,818
DeKalb Ave & Hudson Ave,40.689888,-73.981013,2322
Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,1028
Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,708
Huron St & Franklin St,40.732659999999996,-73.95826,867
2 Ave & E 104 St,40.789210499999996,-73.94370784,688
E 98 St & Park Ave,40.788129999999995,-73.95206,268
S 3 St & Bedford Ave,40.71260486,-73.96264403,956
E 30 St & Park Ave S,40.74444921,-73.98303529,1897
Congress St & Clinton St,40.6881529,-73.99520919,922
McKibbin St & Manhattan Ave,40.70510918,-73.94407279,198
3 St & 7 Ave,40.67038370000001,-73.97839676,553
Court St & State St,40.6902375,-73.99203074,1740
E 13 St & Avenue A,40.72966729392978,-73.98067966103555,3705
Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,1074
Barclay St & Church St,40.71291224,-74.01020234,2277
Grand St & Greene St,40.72165481,-74.00234737,1723
Broadway & W 37 St,40.75172632,-73.98753523,1418
W 95 St & Broadway,40.7937704,-73.971888,1276
Henry St & Poplar St,40.700469,-73.991454,538
5 Ave & E 103 St,40.792255299999994,-73.95249933,992
W 31 St & 7 Ave,40.749156,-73.9916,4623
W 46 St & 11 Ave,40.76341379,-73.99667444,1977
Macon St & Nostrand Ave,40.6809833854,-73.9500479759,1016
W 52 St & 5 Ave,40.75992262,-73.97648516,2048
President St & Henry St,40.6828003,-73.99990419,577
MacDougal St & Prince St,40.72710258,-74.00297088,2865
Baltic St & 5 Ave,40.6795766,-73.97854971,824
William St & Pine St,40.70717936,-74.00887308,1454
Hicks St & Montague St,40.69512845,-73.99595065,1274
Pearl St & Anchorage Pl,40.70281858,-73.98765762,889
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1192
Newtown Ave & 23 St,40.7713615,-73.9246145,189
E 102 St & Park Ave,40.7904828,-73.95033068,443
Mt Morris Park W & W 120 St,40.804038,-73.945925,505
Leonard St & Boerum St,40.70583339,-73.94644578,278
1 Ave & E 68 St,40.76500525,-73.95818491,3664
Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,171
W 87 St & Amsterdam Ave,40.78839,-73.9747,945
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,213
31 Ave & 14 St,40.7682,-73.9322662,186
Market St & Cherry St,40.71076228,-73.99400398,989
Union St & 4 Ave,40.6772744,-73.98282002,774
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,872
Halsey St & Tompkins Ave,40.682368700000005,-73.944118,377
Willoughby St & Fleet St,40.69196566,-73.9813018,1718
E 55 St & 2 Ave,40.75797322,-73.96603308,1841
E 81 St & York Ave,40.7728384,-73.94989233,1153
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,712
28 St & 41 Ave,40.751047,-73.93796999999999,449
3 St & Prospect Park West,40.668132,-73.97363831,820
Morningside Ave & W 123 St,40.81,-73.9551508,378
Washington Pl & Broadway,40.72903917,-73.99404649,2049
Tompkins Ave & Hopkins St,40.69957608,-73.94708417,288
Pitt St & Stanton St,40.71926081,-73.98178024,497
Washington Pl & 6 Ave,40.73224119,-74.00026394,1682
Grand St & Elizabeth St,40.718821999999996,-73.99596,4022
E 84 St & 1 Ave,40.77565541,-73.95068615,1190
Broadway & Moylan Pl,40.8143256,-73.9590255,486
Columbia St & Degraw St,40.6859296,-74.00242364,489
Carroll St & Columbia St,40.6830456,-74.00348559,556
Henry St & Degraw St,40.684751399999996,-73.99917254,1114
E 16 St & 5 Ave,40.73726186,-73.99238967,3437
Lexington Ave & Classon Ave,40.68676793,-73.95928168,478
Central Park West & W 72 St,40.77579376683666,-73.97620573639871,2098
Fulton St & Utica Ave,40.6794268,-73.92989109999999,294
Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,691
Stagg St & Union Ave,40.70877084,-73.95095259,771
