Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/16,11009,24371025,24429,44606414,159362,919,51
1/2/16,14587,24385612,29093,44635507,159403,877,34
1/3/16,15499,24401111,29616,44665123,159459,784,27
1/4/16,19593,24420704,36172,44701295,159502,166,33
1/5/16,18053,24438757,32049,44733344,159534,121,22
1/6/16,24569,24463326,40996,44774340,159564,265,27
1/7/16,27773,24491099,45986,44820326,159588,318,24
1/8/16,28709,24519808,47061,44867387,159621,364,28
1/9/16,20846,24540654,37341,44904728,159654,632,20
1/10/16,14275,24554929,25404,44930132,159682,391,18
1/11/16,22937,24577866,37393,44967525,159731,155,32
1/12/16,25211,24603077,38958,45006483,159761,151,23
1/13/16,21133,24624210,31608,45038091,159792,82,15
1/14/16,23780,24647990,37295,45075386,159813,123,29
1/15/16,28435,24676425,45993,45121379,159841,379,27
1/16/16,19178,24695603,35791,45157170,159885,803,37
1/17/16,12024,24707627,20487,45177657,159910,387,22
1/18/16,12718,24720345,19998,45197655,159931,123,13
1/19/16,17281,24737626,26966,45224621,159957,64,12
1/20/16,23419,24761045,35477,45260098,159972,126,11
1/21/16,23671,24784716,36048,45296146,159991,133,15
1/22/16,20950,24805666,31344,45327490,160004,115,6
1/23/16,0,24805666,0,45327490,160005,0,0
1/24/16,0,24805666,0,45327490,160013,0,0
1/25/16,0,24805666,0,45327490,160020,0,0
1/26/16,0,24805666,0,45327490,160028,0,0
1/27/16,6760,24812426,13698,45341188,160039,54,6
1/28/16,11944,24824370,22314,45363502,160053,81,9
1/29/16,16028,24840398,26896,45390398,160064,118,27
1/30/16,12964,24853362,23350,45413748,160084,328,23
1/31/16,16112,24869474,31280,45445028,160118,533,17
2/1/16,24334,24893808,42380,45487408,160160,202,31
2/2/16,28527,24922335,47742,45535150,160189,280,31
2/3/16,16203,24938538,24225,45559375,160216,63,12
2/4/16,27765,24966303,47458,45606833,160247,304,24
2/5/16,13669,24979972,25538,45632371,160257,102,7
2/6/16,16933,24996905,38782,45671153,160280,586,35
2/7/16,17605,25014510,31524,45702677,160316,622,30
2/8/16,19026,25033536,28648,45731325,160335,80,20
2/9/16,22740,25056276,40198,45771523,160364,156,9
2/10/16,22418,25078694,38402,45809925,160395,130,17
2/11/16,18747,25097441,27783,45837708,160425,87,15
2/12/16,16445,25113886,27143,45864851,160450,104,16
2/13/16,6625,25120511,11589,45876440,160459,46,4
2/14/16,4652,25125163,6934,45883374,160468,78,4
2/15/16,5883,25131046,8747,45892121,160480,43,1
2/16/16,14225,25145271,27802,45919923,160505,53,19
2/17/16,23572,25168843,38304,45958227,160528,182,26
2/18/16,22261,25191104,34431,45992658,160550,202,26
2/19/16,21959,25213063,35317,46027975,160568,268,17
2/20/16,24484,25237547,53540,46081515,160618,1710,50
2/21/16,20052,25257599,41645,46123160,160685,1228,29
2/22/16,28233,25285832,48237,46171397,160749,455,37
2/23/16,16133,25301965,26379,46197776,160784,62,10
2/24/16,9761,25311726,14994,46212770,160814,38,3
2/25/16,25102,25336828,42707,46255477,160849,237,23
2/26/16,22574,25359402,36101,46291578,160887,254,19
2/27/16,17226,25376628,37583,46329161,160910,706,18
2/28/16,25440,25402068,61595,46390756,160982,2335,43
2/29/16,27957,25430025,47933,46438689,161089,376,58
3/1/16,30509,25460534,55160,46493849,161146,470,66
3/2/16,26195,25486729,43535,46537384,161198,235,35
3/3/16,24061,25510790,37848,46575232,161243,215,22
3/4/16,17369,25528159,29100,46604332,161268,150,16
3/5/16,18023,25546182,36875,46641207,161310,785,46
3/6/16,18832,25565014,36377,46677584,161379,837,40
3/7/16,31492,25596506,56232,46733816,161493,633,58
3/8/16,36521,25633027,67958,46801774,161604,723,98
3/9/16,41489,25674516,81662,46883436,161732,1226,125
3/10/16,42252,25716768,82079,46965515,161867,1271,111
3/11/16,38193,25754961,76636,47042151,161987,1266,79
3/12/16,32770,25787731,81491,47123642,162086,3247,105
3/13/16,27549,25815280,63214,47186856,162214,2216,67
3/14/16,10930,25826210,16498,47203354,162289,70,17
3/15/16,31595,25857805,57722,47261076,162380,582,79
3/16/16,36067,25893872,68713,47329789,162482,930,78
3/17/16,35390,25929262,65353,47395142,162583,785,98
3/18/16,34647,25963909,69122,47464264,162670,933,87
3/19/16,24048,25987957,49113,47513377,162733,1411,69
3/20/16,16676,26004633,29737,47543114,162795,633,40
3/21/16,26414,26031047,44457,47587571,162890,428,57
3/22/16,33496,26064543,62248,47649819,163000,705,99
3/23/16,40981,26105524,80289,47730108,163136,1279,120
3/24/16,36495,26142019,67590,47797698,163216,1045,101
3/25/16,34091,26176110,70525,47868223,163320,1684,128
3/26/16,27474,26203584,67267,47935490,163407,2834,108
3/27/16,22481,26226065,52462,47987952,163501,2080,67
3/28/16,20344,26246409,35548,48023500,163589,375,60
3/29/16,31481,26277890,55067,48078567,163681,588,97
3/30/16,33674,26311564,61264,48139831,163770,769,64
3/31/16,38192,26349756,79447,48219278,163865,1141,91