Month/Year,Trips,Miles,Short Term Memberships Purchased,Daily Memberships Purchased,Month,Year
1/1/14,327249,433,327,2876,1,2014
2/1/14,247352,356,244,3090,2,2014
3/1/14,478029,694,735,9651,3,2014
4/1/14,730091,1232,1880,25699,4,2014
5/1/14,954994,1701,3260,40615,5,2014
6/1/14,1035678,1871,3658,43856,6,2014
7/1/14,1061591,1850,3530,42300,7,2014
8/1/14,1061476,1043601,3658,48086,8,2014
9/1/14,1052153,1798856,3113,35302,9,2014
10/1/14,924144,1496115,2224,25194,10,2014
11/1/14,583661,858499,843,10723,11,2014
12/1/14,437450,615379,590,6217,12,2014
1/1/15,313670,409018,181,2325,1,2015
2/1/15,217534,281465,113,929,2,2015
3/1/15,373757,509189,568,5052,3,2015
4/1/15,708362,1186817,2074,27177,4,2015
5/1/15,1039619,1876304,4668,57600,5,2015
6/1/15,991415,1683493,4230,40593,6,2015
7/1/15,1114752,2016388,5220,54440,7,2015
8/1/15,1190704,2256471,5565,65412,8,2015
9/1/15,1282258,2433105,5822,62003,9,2015
10/1/15,1212298,2390997,4061,45532,10,2015
11/1/15,987266,1906568,2510,31866,11,2015
12/1/15,804099,1500517,1615,23563,12,2015
1/1/16,509458,863043,608,8592,1,2016
2/1/16,560551,993661,634,10989,2,2016
3/1/16,919731,1780589,2328,31546,3,2016
4/1/16,1013071,2278188,0,45131,4,2016
5/1/16,1212343,2789168,2289,53966,5,2016
6/1/16,1459917,3432048,4625,64494,6,2016
7/1/16,1379858,3264235,4729,61930,7,2016
8/1/16,1557164,3482251,4894,63895,8,2016
9/1/16,1647741,3721404,5489,64894,9,2016
10/1/16,1573266,3363444,4500,49349,10,2016
11/1/16,1196703,2692661,2663,30161,11,2016
12/1/16,812016,1732357,829,11671,12,2016
1/1/17,726676,1611891,679,8958,1,2017
2/1/17,791648,1990382,1162,17362,2,2017
3/1/17,727668,1727668,894,10640,3,2017
4/1/17,1315387,3427155,5083,67990,4,2017
5/1/17,1523228,3804114,6897,58946,5,2017
6/1/17,1731507,4126199,7119,67142,6,2017
7/1/17,1735677,4234351,8646,78973,7,2017
8/1/17,1816390,4360292,8389,77693,8,2017
9/1/17,1879411,4318618,7590,70076,9,2017
10/1/17,1897533,4061321,7172,61150,10,2017
11/1/17,1330612,2674409,2985,27767,11,2017
12/1/17,889958,1814149,1168,11838,12,2017
1/1/18,718975,1409622,518,7995,1,2018
2/1/18,843097,1749467,932,11624,2,2018
3/1/18,975994,2079814,1502,20074,3,2018
4/1/18,1307490,3123635,4141,52705,4,2018
5/1/18,1824665,4438048,7533,93022,5,2018
6/1/18,1952869,4502487,6919,111190,6,2018
7/1/18,1913557,4060337,7693,125184,7,2018
8/1/18,1977614,3550137,7329,120395,8,2018
9/1/18,1878131,3372575,7981,113634,9,2018
10/1/18,1895417,3160486,5443,88420,10,2018
11/1/18,1276327,2004882,2216,50017,11,2018
12/1/18,1029782,1543561,1065,32144,12,2018
1/1/19,978907,1387517,579,21243,1,2019
2/1/19,956381,1397032,711,25134,2,2019
3/1/19,511663,741646,465,14462,3,2019